month,cpi,oil_nominal,gas_nominal,diesel_nominal
December 2008,2.1139800000,35.5900000000,1.6870000000,2.4490000000
January 2009,2.1193300000,36.8400000000,1.7882500000,2.2922500000
February 2009,2.1270500000,38.5600000000,1.9227500000,2.1952500000
March 2009,2.1249500000,45.9600000000,1.9586000000,2.0920000000
April 2009,2.1270900000,49.5800000000,2.0490000000,2.2197500000
May 2009,2.1302200000,56.7700000000,2.2655000000,2.2265000000
June 2009,2.1479000000,66.3700000000,2.6306000000,2.5292000000
July 2009,2.1472600000,63.4600000000,2.5265000000,2.5400000000
August 2009,2.1544500000,68.0900000000,2.6164000000,2.6338000000
September 2009,2.1586100000,67.6500000000,2.5540000000,2.6260000000
October 2009,2.1650900000,72.0600000000,2.5512500000,2.6720000000
November 2009,2.1723400000,74.4000000000,2.6514000000,2.7922000000
December 2009,2.1734700000,72.6700000000,2.6072500000,2.7445000000
January 2010,2.1746600000,75.0700000000,2.7150000000,2.8447500000
February 2010,2.1725100000,73.7300000000,2.6440000000,2.7845000000
